reviews,score,cleanliness,communication,checkIn,accuracy,location,value,id,k
1,1,1,2,2,3,4,2,0,0
7,0,1,3,0,2,3,2,1,0
26,4,4,2,3,1,1,3,2,0
1,1,5,2,1,5,4,3,3,0
14,4,4,1,4,3,0,1,4,0
24,0,4,3,3,1,0,0,5,0
22,1,5,5,2,5,1,2,6,0
22,5,2,4,4,4,1,0,7,0
14,1,2,3,5,2,5,1,8,0
16,1,5,2,5,3,1,1,9,0
3,4,5,3,5,1,0,2,10,0
18,1,2,0,1,3,4,1,11,0
8,2,0,2,1,5,0,0,12,0
7,0,0,0,3,0,5,5,13,0
24,0,4,3,4,1,0,5,14,0
0,2,3,0,4,4,0,2,15,0
14,2,4,3,1,3,5,0,16,0
15,1,2,5,1,5,4,3,17,0
28,4,3,3,3,1,2,1,18,0
26,2,0,5,4,4,5,5,19,0
21,1,0,2,2,0,1,2,20,0
27,2,2,0,0,3,0,2,21,0
18,1,3,2,2,2,1,0,22,0
8,0,4,5,3,2,1,1,23,0
26,1,5,1,5,1,2,1,24,0
21,1,3,3,1,2,1,3,25,0
24,5,1,4,1,5,4,3,26,0
20,0,1,4,2,2,3,0,27,0
28,4,4,3,1,3,3,3,28,0
7,0,1,5,1,3,0,4,29,0
21,2,2,5,3,2,5,2,30,0
12,5,2,1,4,4,1,2,31,0
21,3,0,3,5,1,5,5,32,0
4,3,5,4,1,2,0,4,33,0
4,1,4,5,3,4,1,5,34,0
18,0,3,2,0,5,3,4,35,0
16,3,5,4,4,4,2,3,36,0
14,3,4,0,0,4,4,2,37,0
25,1,5,2,0,3,3,0,38,0
24,3,1,4,3,4,4,1,39,0
17,2,3,1,3,4,1,3,40,0
4,0,2,1,4,2,5,3,41,0
7,1,5,1,5,1,4,2,42,0
19,0,2,2,1,1,1,5,43,0
2,0,4,2,0,5,2,3,44,0
17,4,5,4,3,1,2,2,45,0
24,4,3,0,4,2,2,3,46,0
27,4,0,1,0,0,4,1,47,0
10,1,1,5,2,2,2,5,48,0
30,4,5,4,3,4,3,2,49,0
24,0,1,1,1,0,2,2,50,0
0,3,5,1,4,2,0,3,51,0
28,3,0,4,2,1,0,5,52,0
16,0,0,0,5,5,2,1,53,0
21,4,0,5,1,2,2,3,54,0
1,4,1,0,0,3,3,4,55,0
27,1,3,4,4,1,5,5,56,0
29,4,3,5,0,1,3,2,57,0
30,3,3,0,0,3,1,0,58,0
10,5,3,5,0,2,5,2,59,0
8,3,5,0,5,3,1,5,60,0
2,1,4,5,1,5,0,5,61,0
29,5,3,0,0,3,1,1,62,0
15,2,0,0,4,1,1,1,63,0
7,0,4,0,0,3,2,4,64,0
25,1,0,0,5,2,3,0,65,0
17,0,0,3,5,0,4,4,66,0
30,1,3,5,0,4,0,5,67,0
22,5,1,4,4,5,4,4,68,0
26,2,4,0,1,1,2,5,69,0
26,2,2,3,5,0,1,3,70,0
18,3,2,1,3,1,0,2,71,0
18,2,0,0,5,4,1,4,72,0
22,3,2,3,0,0,5,5,73,0
12,2,3,3,1,4,1,1,74,0
14,5,4,3,3,4,4,3,75,0
23,3,3,0,1,5,4,0,76,0
26,1,5,1,2,0,3,1,77,0
14,0,0,5,4,4,3,4,78,0
12,5,0,3,4,3,4,5,79,0
11,3,4,1,0,1,5,2,80,0
17,0,5,3,3,4,2,0,81,0
10,4,3,2,0,5,5,2,82,0
3,4,0,0,3,2,4,3,83,0
5,2,4,2,0,1,4,5,84,0
12,2,0,5,3,3,1,0,85,0
11,0,2,4,3,4,0,3,86,0
8,1,5,5,2,2,3,2,87,0
23,0,0,0,0,4,2,2,88,0
27,5,5,4,1,1,1,0,89,0
5,4,3,0,3,1,1,0,90,0
25,3,0,3,2,3,4,5,91,0
1,0,0,0,0,0,4,5,92,0
10,2,1,4,3,3,4,3,93,0
3,1,1,5,5,4,5,2,94,0
1,4,5,2,5,3,4,5,95,0
17,4,0,2,3,0,3,5,96,0
22,4,3,4,2,5,4,4,97,0
5,3,1,3,2,1,4,0,98,0
24,0,4,1,3,3,3,1,99,0
22,1,5,3,5,4,3,0,100,0
7,0,1,4,1,4,4,0,101,0
30,3,1,2,0,2,2,0,102,0
