reviews,score,cleanliness,communication,checkIn,accuracy,location,value,id,k
1,1,1,2,2,3,4,2,1000,1
7,0,1,3,0,2,3,2,1001,1
26,4,4,2,3,1,1,3,1002,1
1,1,5,2,1,5,4,3,1003,1
14,4,4,1,4,3,0,1,1004,1
24,0,4,3,3,1,0,0,1005,1
22,1,5,5,2,5,1,2,1006,1
22,5,2,4,4,4,1,0,1007,1
14,1,2,3,5,2,5,1,1008,1
16,1,5,2,5,3,1,1,1009,1
3,4,5,3,5,1,0,2,1010,1
18,1,2,0,1,3,4,1,1011,1
8,2,0,2,1,5,0,0,1012,1
7,0,0,0,3,0,5,5,1013,1
24,0,4,3,4,1,0,5,1014,1
0,2,3,0,4,4,0,2,1015,1
14,2,4,3,1,3,5,0,1016,1
15,1,2,5,1,5,4,3,1017,1
28,4,3,3,3,1,2,1,1018,1
26,2,0,5,4,4,5,5,1019,1
21,1,0,2,2,0,1,2,1020,1
27,2,2,0,0,3,0,2,1021,1
18,1,3,2,2,2,1,0,1022,1
8,0,4,5,3,2,1,1,1023,1
26,1,5,1,5,1,2,1,1024,1
21,1,3,3,1,2,1,3,1025,1
24,5,1,4,1,5,4,3,1026,1
20,0,1,4,2,2,3,0,1027,1
28,4,4,3,1,3,3,3,1028,1
7,0,1,5,1,3,0,4,1029,1
21,2,2,5,3,2,5,2,1030,1
12,5,2,1,4,4,1,2,1031,1
21,3,0,3,5,1,5,5,1032,1
4,3,5,4,1,2,0,4,1033,1
4,1,4,5,3,4,1,5,1034,1
18,0,3,2,0,5,3,4,1035,1
16,3,5,4,4,4,2,3,1036,1
14,3,4,0,0,4,4,2,1037,1
25,1,5,2,0,3,3,0,1038,1
24,3,1,4,3,4,4,1,1039,1
17,2,3,1,3,4,1,3,1040,1
4,0,2,1,4,2,5,3,1041,1
7,1,5,1,5,1,4,2,1042,1
19,0,2,2,1,1,1,5,1043,1
2,0,4,2,0,5,2,3,1044,1
17,4,5,4,3,1,2,2,1045,1
24,4,3,0,4,2,2,3,1046,1
27,4,0,1,0,0,4,1,1047,1
10,1,1,5,2,2,2,5,1048,1
30,4,5,4,3,4,3,2,1049,1
24,0,1,1,1,0,2,2,1050,1
0,3,5,1,4,2,0,3,1051,1
28,3,0,4,2,1,0,5,1052,1
16,0,0,0,5,5,2,1,1053,1
21,4,0,5,1,2,2,3,1054,1
1,4,1,0,0,3,3,4,1055,1
27,1,3,4,4,1,5,5,1056,1
29,4,3,5,0,1,3,2,1057,1
30,3,3,0,0,3,1,0,1058,1
10,5,3,5,0,2,5,2,1059,1
8,3,5,0,5,3,1,5,1060,1
2,1,4,5,1,5,0,5,1061,1
29,5,3,0,0,3,1,1,1062,1
15,2,0,0,4,1,1,1,1063,1
7,0,4,0,0,3,2,4,1064,1
25,1,0,0,5,2,3,0,1065,1
17,0,0,3,5,0,4,4,1066,1
30,1,3,5,0,4,0,5,1067,1
22,5,1,4,4,5,4,4,1068,1
26,2,4,0,1,1,2,5,1069,1
26,2,2,3,5,0,1,3,1070,1
18,3,2,1,3,1,0,2,1071,1
18,2,0,0,5,4,1,4,1072,1
22,3,2,3,0,0,5,5,1073,1
12,2,3,3,1,4,1,1,1074,1
14,5,4,3,3,4,4,3,1075,1
23,3,3,0,1,5,4,0,1076,1
26,1,5,1,2,0,3,1,1077,1
14,0,0,5,4,4,3,4,1078,1
12,5,0,3,4,3,4,5,1079,1
11,3,4,1,0,1,5,2,1080,1
17,0,5,3,3,4,2,0,1081,1
10,4,3,2,0,5,5,2,1082,1
3,4,0,0,3,2,4,3,1083,1
5,2,4,2,0,1,4,5,1084,1
12,2,0,5,3,3,1,0,1085,1
11,0,2,4,3,4,0,3,1086,1
8,1,5,5,2,2,3,2,1087,1
23,0,0,0,0,4,2,2,1088,1
27,5,5,4,1,1,1,0,1089,1
5,4,3,0,3,1,1,0,1090,1
25,3,0,3,2,3,4,5,1091,1
1,0,0,0,0,0,4,5,1092,1
10,2,1,4,3,3,4,3,1093,1
3,1,1,5,5,4,5,2,1094,1
1,4,5,2,5,3,4,5,1095,1
17,4,0,2,3,0,3,5,1096,1
22,4,3,4,2,5,4,4,1097,1
5,3,1,3,2,1,4,0,1098,1
24,0,4,1,3,3,3,1,1099,1
22,1,5,3,5,4,3,0,1100,1
7,0,1,4,1,4,4,0,1101,1
30,3,1,2,0,2,2,0,1102,1
2,3,1,1,0,5,3,3,1103,1
16,1,2,4,4,3,0,4,1104,1
20,2,1,1,2,2,1,3,1105,1
18,3,0,4,0,0,2,4,1106,1
10,2,3,0,1,2,5,2,1107,1
2,5,1,1,4,5,0,3,1108,1
15,4,3,0,0,2,5,5,1109,1
2,2,2,1,3,1,4,4,1110,1
9,0,4,1,3,4,4,4,1111,1
9,5,3,2,0,2,0,3,1112,1
17,4,2,3,3,5,3,4,1113,1
11,1,4,1,0,1,0,1,1114,1
5,5,2,5,3,0,4,1,1115,1
11,4,3,1,5,1,5,1,1116,1
1,2,3,3,4,2,4,1,1117,1
6,5,4,0,5,3,2,3,1118,1
26,4,0,4,3,2,5,1,1119,1
1,3,4,3,2,0,4,4,1120,1
29,3,0,2,4,0,2,2,1121,1
26,4,2,5,4,3,2,4,1122,1
7,4,0,0,1,2,0,1,1123,1
24,0,1,0,4,4,4,3,1124,1
29,4,2,4,0,4,5,5,1125,1
8,3,1,3,5,2,5,2,1126,1
6,1,0,4,1,1,2,2,1127,1
12,5,5,5,4,4,4,4,1128,1
26,5,1,5,1,5,5,2,1129,1
25,2,4,3,1,5,2,4,1130,1
10,4,0,4,1,1,4,1,1131,1
0,4,0,0,5,1,1,3,1132,1
24,2,5,2,2,5,3,3,1133,1
29,1,1,4,2,5,0,1,1134,1
28,2,4,0,2,1,0,0,1135,1
7,0,4,1,1,5,3,4,1136,1
3,5,2,5,5,0,2,0,1137,1
13,2,1,1,3,0,1,3,1138,1
