reviews,score,cleanliness,communication,checkIn,accuracy,location,value,id,k
1,1,1,2,2,3,4,2,3000,3
7,0,1,3,0,2,3,2,3001,3
26,4,4,2,3,1,1,3,3002,3
1,1,5,2,1,5,4,3,3003,3
14,4,4,1,4,3,0,1,3004,3
24,0,4,3,3,1,0,0,3005,3
22,1,5,5,2,5,1,2,3006,3
22,5,2,4,4,4,1,0,3007,3
14,1,2,3,5,2,5,1,3008,3
16,1,5,2,5,3,1,1,3009,3
3,4,5,3,5,1,0,2,3010,3
18,1,2,0,1,3,4,1,3011,3
8,2,0,2,1,5,0,0,3012,3
7,0,0,0,3,0,5,5,3013,3
24,0,4,3,4,1,0,5,3014,3
0,2,3,0,4,4,0,2,3015,3
14,2,4,3,1,3,5,0,3016,3
15,1,2,5,1,5,4,3,3017,3
28,4,3,3,3,1,2,1,3018,3
26,2,0,5,4,4,5,5,3019,3
21,1,0,2,2,0,1,2,3020,3
27,2,2,0,0,3,0,2,3021,3
18,1,3,2,2,2,1,0,3022,3
8,0,4,5,3,2,1,1,3023,3
26,1,5,1,5,1,2,1,3024,3
21,1,3,3,1,2,1,3,3025,3
24,5,1,4,1,5,4,3,3026,3
20,0,1,4,2,2,3,0,3027,3
28,4,4,3,1,3,3,3,3028,3
7,0,1,5,1,3,0,4,3029,3
21,2,2,5,3,2,5,2,3030,3
12,5,2,1,4,4,1,2,3031,3
21,3,0,3,5,1,5,5,3032,3
4,3,5,4,1,2,0,4,3033,3
4,1,4,5,3,4,1,5,3034,3
18,0,3,2,0,5,3,4,3035,3
16,3,5,4,4,4,2,3,3036,3
14,3,4,0,0,4,4,2,3037,3
25,1,5,2,0,3,3,0,3038,3
24,3,1,4,3,4,4,1,3039,3
17,2,3,1,3,4,1,3,3040,3
4,0,2,1,4,2,5,3,3041,3
7,1,5,1,5,1,4,2,3042,3
19,0,2,2,1,1,1,5,3043,3
2,0,4,2,0,5,2,3,3044,3
17,4,5,4,3,1,2,2,3045,3
24,4,3,0,4,2,2,3,3046,3
27,4,0,1,0,0,4,1,3047,3
10,1,1,5,2,2,2,5,3048,3
30,4,5,4,3,4,3,2,3049,3
24,0,1,1,1,0,2,2,3050,3
0,3,5,1,4,2,0,3,3051,3
28,3,0,4,2,1,0,5,3052,3
16,0,0,0,5,5,2,1,3053,3
21,4,0,5,1,2,2,3,3054,3
1,4,1,0,0,3,3,4,3055,3
27,1,3,4,4,1,5,5,3056,3
29,4,3,5,0,1,3,2,3057,3
30,3,3,0,0,3,1,0,3058,3
10,5,3,5,0,2,5,2,3059,3
8,3,5,0,5,3,1,5,3060,3
2,1,4,5,1,5,0,5,3061,3
29,5,3,0,0,3,1,1,3062,3
15,2,0,0,4,1,1,1,3063,3
7,0,4,0,0,3,2,4,3064,3
25,1,0,0,5,2,3,0,3065,3
17,0,0,3,5,0,4,4,3066,3
30,1,3,5,0,4,0,5,3067,3
22,5,1,4,4,5,4,4,3068,3
26,2,4,0,1,1,2,5,3069,3
26,2,2,3,5,0,1,3,3070,3
18,3,2,1,3,1,0,2,3071,3
18,2,0,0,5,4,1,4,3072,3
22,3,2,3,0,0,5,5,3073,3
12,2,3,3,1,4,1,1,3074,3
14,5,4,3,3,4,4,3,3075,3
23,3,3,0,1,5,4,0,3076,3
26,1,5,1,2,0,3,1,3077,3
14,0,0,5,4,4,3,4,3078,3
12,5,0,3,4,3,4,5,3079,3
11,3,4,1,0,1,5,2,3080,3
17,0,5,3,3,4,2,0,3081,3
10,4,3,2,0,5,5,2,3082,3
3,4,0,0,3,2,4,3,3083,3
5,2,4,2,0,1,4,5,3084,3
12,2,0,5,3,3,1,0,3085,3
11,0,2,4,3,4,0,3,3086,3
8,1,5,5,2,2,3,2,3087,3
23,0,0,0,0,4,2,2,3088,3
27,5,5,4,1,1,1,0,3089,3
5,4,3,0,3,1,1,0,3090,3
25,3,0,3,2,3,4,5,3091,3
1,0,0,0,0,0,4,5,3092,3
10,2,1,4,3,3,4,3,3093,3
3,1,1,5,5,4,5,2,3094,3
1,4,5,2,5,3,4,5,3095,3
17,4,0,2,3,0,3,5,3096,3
22,4,3,4,2,5,4,4,3097,3
5,3,1,3,2,1,4,0,3098,3
24,0,4,1,3,3,3,1,3099,3
22,1,5,3,5,4,3,0,3100,3
7,0,1,4,1,4,4,0,3101,3
30,3,1,2,0,2,2,0,3102,3
2,3,1,1,0,5,3,3,3103,3
16,1,2,4,4,3,0,4,3104,3
20,2,1,1,2,2,1,3,3105,3
18,3,0,4,0,0,2,4,3106,3
10,2,3,0,1,2,5,2,3107,3
2,5,1,1,4,5,0,3,3108,3
15,4,3,0,0,2,5,5,3109,3
2,2,2,1,3,1,4,4,3110,3
9,0,4,1,3,4,4,4,3111,3
9,5,3,2,0,2,0,3,3112,3
17,4,2,3,3,5,3,4,3113,3
11,1,4,1,0,1,0,1,3114,3
5,5,2,5,3,0,4,1,3115,3
11,4,3,1,5,1,5,1,3116,3
1,2,3,3,4,2,4,1,3117,3
6,5,4,0,5,3,2,3,3118,3
26,4,0,4,3,2,5,1,3119,3
1,3,4,3,2,0,4,4,3120,3
29,3,0,2,4,0,2,2,3121,3
26,4,2,5,4,3,2,4,3122,3
7,4,0,0,1,2,0,1,3123,3
24,0,1,0,4,4,4,3,3124,3
29,4,2,4,0,4,5,5,3125,3
8,3,1,3,5,2,5,2,3126,3
6,1,0,4,1,1,2,2,3127,3
12,5,5,5,4,4,4,4,3128,3
26,5,1,5,1,5,5,2,3129,3
25,2,4,3,1,5,2,4,3130,3
10,4,0,4,1,1,4,1,3131,3
0,4,0,0,5,1,1,3,3132,3
24,2,5,2,2,5,3,3,3133,3
29,1,1,4,2,5,0,1,3134,3
28,2,4,0,2,1,0,0,3135,3
7,0,4,1,1,5,3,4,3136,3
3,5,2,5,5,0,2,0,3137,3
13,2,1,1,3,0,1,3,3138,3
8,2,3,2,0,0,1,3,3139,3
6,0,2,4,0,1,3,1,3140,3
